书名,图书链接,评分,评价,作者,出版社,出品方,原作名,译者,出版年,页数,定价,装帧,丛书,ISBN
红楼梦,https://book.douban.com/subject/1007305/,9.6,都云作者痴，谁解其中味？,[清]曹雪芹著/高鹗续,人民文学出版社,,,,1996年12月,1606,59.70元,平装,中国古典文学读本丛书,9787020002207 
活着,https://book.douban.com/subject/4913064/,9.4,生的苦难与伟大,余华,作家出版社,,,,2012年8月,191,20.00元,平装,余华作品（2012版）,9787506365437 
1984,https://book.douban.com/subject/4820710/,9.3,栗树荫下，我出卖你，你出卖我,[英]乔治·奥威尔,北京十月文艺出版社,新经典文化,NineteenEighty-Four,刘绍铭,2010年4月,304,28,精装,新经典文库：桂冠文丛,9787530210291 
百年孤独,https://book.douban.com/subject/6082808/,9.2,魔幻现实主义文学代表作,[哥伦比亚]加西亚·马尔克斯,南海出版公司,新经典文化,Cienañosdesoledad,范晔,2011年6月,360,39.50元,精装,新经典文库：加西亚·马尔克斯作品,9787544253994 
飘,https://book.douban.com/subject/1068920/,9.3,革命时期的爱情，随风而逝,[美]玛格丽特·米切尔,译林出版社,,GonewiththeWind,李美华,2000年9月,1235,40.00元,精装,,9787806570920 
三体全集,https://book.douban.com/subject/6518605/,9.4,地球往事三部曲,刘慈欣,重庆出版社,科幻世界,,,2012年1月,1285,168.00元,精装,科幻世界·中国科幻基石丛书,9787229042066 
三国演义（全二册）,https://book.douban.com/subject/1019568/,9.3,是非成败转头空,罗贯中,人民文学出版社,,,,1998年5月,990,39.50元,平装,中国古典文学读本丛书,9787020008728 
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,9.2,向死而生的文学绝唱,林奕含,北京联合出版公司,磨铁图书,,,2018年1月,272,45.00元,平装,,9787559614636 
白夜行,https://book.douban.com/subject/10554308/,9.1,一宗离奇命案牵出跨度近20年步步惊心的故事,[日]东野圭吾,南海出版公司,新经典文化,,刘姿君,2013年1月,538,39.50元,精装,新经典文库·东野圭吾作品,9787544258609 
动物农场,https://book.douban.com/subject/2035179/,9.2,太阳底下并无新事,[英]乔治·奥威尔,上海译文出版社,,AnimalFarm,荣如德,2007年3月,119,10.00元,平装,译文名著文库,9787532741854 
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,9.3,名侦探的代名词,[英]阿瑟·柯南·道尔,群众出版社,,,丁钟华等,1981年8月,531；706；583,53.00元/68.00元,平装/精装,,9787501408580 
小王子,https://book.douban.com/subject/1084336/,9,献给长成了大人的孩子们,[法]安东尼·德·圣-埃克苏佩里,人民文学出版社,,LePetitPrince,马振聘,2003年8月,97,22.00元,平装,,9787020042494 
天龙八部,https://book.douban.com/subject/1255625/,9.1,有情皆孽，无人不冤,金庸,生活.读书.新知三联书店,,,,1994年5月,1978,96,平装,金庸作品集（三联版）,9787108006721 
撒哈拉的故事,https://book.douban.com/subject/1060068/,9.2,游荡的自由灵魂,三毛,哈尔滨出版社,华文天下,,,2003年8月,217,15.80元,平装,三毛全集（华文天下2003版）,9787806398791 
安徒生童话故事集,https://book.douban.com/subject/1046209/,9.2,为了争取未来的一代,（丹麦）安徒生,人民文学出版社,,,叶君健,1997年8月,550,25.00元,精装,世界文学名著文库,9787020017713 
哈利•波特,https://book.douban.com/subject/24531956/,9.7,从9¾站台开始的旅程,J.K.罗琳(J.K.Rowling),人民文学出版社,,HarryPotter,苏农/马爱农/马爱新,2008年12月,3104,498.00元,精装,,9787020096695 
沉默的大多数,https://book.douban.com/subject/1054685/,9.1,沉默是沉默者的通行证,王小波,中国青年出版社,,,,1997年10月,555,27.00元,平装,王小波作品系列,9787500627098 
冰与火之歌（卷一）,https://book.douban.com/subject/1336330/,9.3,凛冬将至。无比宏大的世界观,[美]乔治·R·R·马丁,重庆出版社,,AGameofThrones,谭光磊/屈畅,2005年5月,758,68.00元,平装,独角兽书系,9787536671256 
杀死一只知更鸟,https://book.douban.com/subject/6781808/,9.2,有一种东西不能遵循从众原则，那就是——人的良心,[美]哈珀·李,译林出版社,,ToKillaMockingBird,高红梅,2012年9月,346,32.00元,精装,译林纪念版,9787544722766 
人类简史,https://book.douban.com/subject/25985021/,9.1,跟着人类一同走过十万年,[以色列]尤瓦尔·赫拉利,中信出版社,见识城邦,Abriefhistoryofhumankind,林俊宏,2014年11月,440,CNY68.00,平装,“中信史学大师畅销经典”系列,9787508647357 
围城,https://book.douban.com/subject/1008145/,8.9,幽默的语言和对生活深刻的观察,钱钟书,人民文学出版社,,,,1991年2月,359,19,平装,,9787020024759 
平凡的世界（全三部）,https://book.douban.com/subject/1200840/,9,中国当代城乡生活全景,路遥,人民文学出版社,,,,2005年1月,1631,64.00元,平装,茅盾文学奖获奖作品全集,9787020049295 
局外人,https://book.douban.com/subject/4908885/,9,人生在世，永远也不该演戏作假,[法]阿尔贝·加缪,上海译文出版社,,L'Etranger,柳鸣九,2010年8月,128,22.00元,精装,译文经典（精装本）,9787532751471 
霍乱时期的爱情,https://book.douban.com/subject/10594787/,9,义无反顾地直达爱情的核心,[哥伦比亚]加西亚·马尔克斯,南海出版公司,新经典文化,Elamorenlostiemposdelcólera,杨玲,2012年9月,401,39.50元,精装,新经典文库：加西亚·马尔克斯作品,9787544258975 
明朝那些事儿（1-9）,https://book.douban.com/subject/3674537/,9.1,不拘一格的历史书写,当年明月,中国海关出版社,,,,2009年4月,,358.20元,精装16开,,9787801656087 
笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,9,欲练此功，必先自宫,金庸,生活·读书·新知三联书店,,,,1994年5月,1599,76.80元,平装,金庸作品集（三联版）,9787108006639 
月亮和六便士,https://book.douban.com/subject/1858513/,9,有多少人会经历顿悟，就有更少的人甘愿自我放逐,[英]威廉·萨默塞特·毛姆,上海译文出版社,,TheMoonandSixpence,傅惟慈,2006年8月,275,15.00元,平装,译文名著文库,9787532739547 
中国历代政治得失,https://book.douban.com/subject/1003479/,9.2,一部简明的“中国政治制度史”,钱穆,生活·读书·新知三联书店,,,,1905年6月,178,12.00元,平装,钱穆作品系列,9787108015280 
肖申克的救赎,https://book.douban.com/subject/1829226/,9.1,豆瓣电影Top1原著,[美]斯蒂芬·金,人民文学出版社,99读书人,DifferentSeasons,施寄青/赵永芬/齐若兰,2006年7月,466,29.90元,平装,斯蒂芬·金作品：人文版,9787020054985 
基督山伯爵,https://book.douban.com/subject/1085860/,9,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,[法]大仲马,上海译文出版社,,LeComtedeMonte-Cristo,周克希/韩沪麟,1991年12月,1453,43.90元,精装,,9787532712243 
东方快车谋杀案,https://book.douban.com/subject/1827374/,9,谋杀诡计惊人，波洛的抉择耐人寻味,[英]阿加莎·克里斯蒂,人民文学出版社,99读书人,MurderontheOrientExpress,陈尧光,2006年5月,254,18.00元,平装,阿加莎·克里斯蒂侦探推理系列,9787020056309 
追风筝的人,https://book.douban.com/subject/1770782/,8.9,为你，千千万万遍,[美]卡勒德·胡赛尼,上海人民出版社,世纪文景,TheKiteRunner,李继宏,2006年5月,362,29.00元,平装,卡勒德·胡赛尼作品,9787208061644 
万历十五年,https://book.douban.com/subject/1041482/,8.9,见微知著，历史观的颠覆,[美]黄仁宇,生活·读书·新知三联书店,,,,1997年5月,320,18.00元,平装,黄仁宇作品系列,9787108009821 
新名字的故事,https://book.douban.com/subject/26986954/,9,探索青年时代的激情、困惑、挣扎、背叛和失去,[意]埃莱娜·费兰特,人民文学出版社,99读书人,Storiadelnuovocognome,陈英,2017年4月,492,59.00元,平装,那不勒斯四部曲,9787020125265 
江城,https://book.douban.com/subject/7060185/,9.1,外国人眼中的涪陵,[美]彼得·海斯勒,上海译文出版社,,RiverTown,李雪顺,2012年1月,446,36.00元,平装,译文纪实,9787532756728 
失踪的孩子,https://book.douban.com/subject/30172069/,9.1,我的整个生命，只是一场为了提升社会地位的低俗斗争。,[意]埃莱娜·费兰特,人民文学出版社,99读书人,Storiadellabambinaperduta,陈英,2018年7月,480,62.00元,平装,那不勒斯四部曲,9787020139927 
呐喊,https://book.douban.com/subject/1449351/,8.9,新文学的第一声呐喊,鲁迅,人民文学出版社,,,,1973年3月,160,0.36元,平装,鲁迅作品集,
嫌疑人X的献身,https://book.douban.com/subject/3211779/,8.9,数学好是一种极致的浪漫,[日]东野圭吾,南海出版公司,新经典文化,容疑者Xの献身,刘子倩,2008年9月,251,28,精装,新经典文库·东野圭吾作品,9787544241694 
刀锋,https://book.douban.com/subject/2035162/,9,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,[英]毛姆,上海译文出版社,,TheRazor'sEdge,周煦良,2007年3月,318,18.00元,平装,译文名著文库,9787532741922 
乡土中国,https://book.douban.com/subject/1795079/,9.2,中国乡土社会传统文化和社会结构理论研究代表作,费孝通,上海人民出版社,,,,2006年4月,426,38,平装,名家名著·文化史,9787208062153 
寻路中国,https://book.douban.com/subject/5414391/,9,《纽约客》驻北京记者驾车漫游中国大陆的经历,[美]彼得·海斯勒,上海译文出版社,,,李雪顺,2011年1月,426,33.00元,平装,译文纪实,9787532752805 
射雕英雄传（全四册）,https://book.douban.com/subject/1044547/,9,侠之大者，为国为民,金庸,生活·读书·新知三联书店,,,,1999年4月,1263,47.00元,平装,金庸作品集（三联口袋本）,9787108012586 
城南旧事,https://book.douban.com/subject/1254588/,9,长亭外，古道边，芳草碧连天,关维兴图/林海音,中国青年出版社,,,,2003年7月,198,16.00元,平装,现当代文学名著系列,9787500652045 
我与地坛,https://book.douban.com/subject/1209899/,9.1,这是你的罪孽与福祉,史铁生,春风文艺出版社,,,,2002年5月,399,25.00元,平装,新经典文库,9787531324362 
白鹿原,https://book.douban.com/subject/10564071/,9.2,一轴关于我们民族灵魂的现实主义画卷,陈忠实,人民文学出版社,,,,2012年9月,697,39.00元,精装,,9787020090297 
傲慢与偏见,https://book.douban.com/subject/1083428/,8.9,所有现代言情小说的母体,[英]简·奥斯汀,人民文学出版社,,PrideandPrejudice,张玲/张扬,1993年7月,310,13.00元,平装,名著名译插图本,9787020040179 
格林童话全集,https://book.douban.com/subject/1043008/,9,一本有教育意义的书,[德国]格林兄弟,人民文学出版社,,Kinder-undHausmärchen,魏以新,1994年11月,625,21.45元,精装,世界文学名著文库,9787020019526 
黄金时代,https://book.douban.com/subject/1089243/,8.9,我想爱，想吃，还想在一瞬间变成天上半明半暗的云,王小波,花城出版社,,,,1999年3月,375,19.00元,平装,王小波《时代三部曲》,9787536025080 
无人生还,https://book.douban.com/subject/3006581/,8.9,童谣杀人案,[英]阿加莎·克里斯蒂,人民文学出版社,99读书人,AndThenThereWereNone,祁阿红,2008年3月,254,19,平装,阿加莎·克里斯蒂侦探推理系列,9787020065394 
文学回忆录,https://book.douban.com/subject/20440644/,9.1,木心留给世界的礼物,木心口述/陈丹青笔录,广西师范大学出版社,理想国,,,2013年1月,1102,98.00元,精装,理想国·木心作品,9787549530816 
历史深处的忧虑,https://book.douban.com/subject/1027191/,9,窥见美国社会的一扇窗,林达,生活·读书·新知三联书店,,,,1997年5月,320,19.00元,平装,林达作品系列,9787108010186 
艺术的故事,https://book.douban.com/subject/3162991/,9.6,从最早的洞窟绘画到当今的实验艺术,[英]贡布里希,广西美术出版社,,TheStoryofArt,范景中/杨成凯,2008年4月,688,280,平装,贡布里希文集,9787807463726 
神雕侠侣,https://book.douban.com/subject/1255624/,8.9,至情至性，情大于武,金庸,生活·读书·新知三联书店,,神鵰俠侶,有1996年11月北平第4次印本,1994年5月,1564,76.80元,平装,金庸作品集（三联版）,9787108006660 
悲惨世界（上中下）,https://book.douban.com/subject/1205054/,9,现实主义与浪漫主义的至高杰作,[法]维克多·雨果,人民文学出版社,,LesMisérables,李丹/方于,1992年6月,1760,66.00元,平装,外国古典文学名著选粹,9787020017164 
史记（全十册）,https://book.douban.com/subject/1077847/,9.5,史家之绝唱，无韵之离骚,司马迁/张守节,中华书局,,,（索隐）司马贞，（正义）张守节,1982年11月,3356,125,平装,点校本二十四史·清史稿,9787101003048 
许三观卖血记,https://book.douban.com/subject/1029791/,8.8,以博大的温情描绘磨难中的人生,余华,南海出版公司,,,,1998年9月,269,16.80元,平装,余华作品,9787544211765 
上帝掷骰子吗,https://book.douban.com/subject/1467022/,9.2,量子物理史话,曹天元,辽宁教育出版社,磨铁图书,,,2006年1月,369,32.00元,平装,,9787538276374 
卡拉马佐夫兄弟,https://book.douban.com/subject/1856494/,9.4,错综复杂的社会、家庭矛盾和人性悲剧,[俄]费奥多尔·陀思妥耶夫斯基,上海译文出版社,,Бра́тьяКарама́зовы,荣如德,2006年8月,847,25.00元,平装,译文名著文库,9787532740086 
树上的男爵,https://book.douban.com/subject/6789605/,9.1,是不是真的只有先与人疏离，才能最终与他们在一起？,[意]伊塔洛·卡尔维诺,译林出版社,,TheBaronintheTrees,吴正仪,2012年4月,280,30.00元,精装,卡尔维诺经典,9787544722803 
哭泣的骆驼,https://book.douban.com/subject/1029111/,8.9,沙漠中寻常的生与死,三毛,哈尔滨出版社,华文天下,,,2003年6月,222,15.80元,平装,三毛全集（华文天下2003版）,9787806399071 
看见,https://book.douban.com/subject/20427187/,8.8,在这里看见中国,柴静,广西师范大学出版社,理想国,,,2013年1月,405,39.80元,平装,,9787549529322 
灿烂千阳,https://book.douban.com/subject/2143732/,8.8,唯有希望与爱可以驱散阴霾,[美]卡勒德·胡赛尼,上海人民出版社,世纪文景,AThousandSplendidSuns,李继宏,2007年9月,428,28.00元,平装,卡勒德·胡赛尼作品,9787208072107 
邓小平时代,https://book.douban.com/subject/20424526/,9.2,个人命运背后的历史变局,[美]傅高义,生活·读书·新知三联书店,,DengXiaopingandtheTransformationofChina,冯克利,2013年1月,754,88.00元,平装,,9787108041531 
浪潮之巅,https://book.douban.com/subject/6709783/,9,了解IT领域的入门读物,吴军,电子工业出版社,Just-pub,,,2011年8月,584,55.00元,平装,,9787121139512 
台北人,https://book.douban.com/subject/5337248/,8.9,白先勇短篇小说集,白先勇,广西师范大学出版社,理想国,,,2010年10月,392,38.00元,精装,理想国·白先勇作品,9787563397648 
诗经,https://book.douban.com/subject/1883245/,9.4,思无邪,孔丘,北京出版社,,,,2006年7月,363,19.90元,平装,家庭书架·传世经典读库,9787200065039 
人间词话,https://book.douban.com/subject/1203426/,9,以新眼光评旧文学,王国维,上海古籍出版社,,,,1998年12月,78,9.80元,平装,蓬莱阁丛书,9787532524808 
西游记（全二册）,https://book.douban.com/subject/1029553/,8.9,神魔皆有人情，精魅亦通世故,吴承恩/校注黄肃秋,人民文学出版社,,,黄肃秋注释,2004年8月,1198,47.20元,平装,中国古典文学读本丛书,9787020008735 
永恒的终结,https://book.douban.com/subject/25829693/,9,关于时间旅行的终极奥秘和恢宏构想,[美]艾萨克·阿西莫夫,江苏凤凰文艺出版社,读客文化,TheEndofEternity,崔正男,2014年9月,264,32.00元,平装,读客外国小说文库：艾萨克·阿西莫夫作品,9787539957173 
窗边的小豆豆,https://book.douban.com/subject/1007914/,8.7,真正懂孩子的教育经,[日]黑柳彻子著/岩崎千弘图,南海出版公司,新经典文化,窓ぎわのトットちゃん,赵玉皎,2003年1月,288,20.00元,平装,新经典文库·巴学园,9787544222976 
悉达多,https://book.douban.com/subject/3406401/,9,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……,[德]赫尔曼·黑塞/校注丁君君,上海人民出版社,世纪文景,,杨玉功译/丁君君校,2009年3月,157,20,平装,赫尔曼·黑塞作品系列,9787208081628 
爱你就像爱生命,https://book.douban.com/subject/3071717/,8.8,王小波与李银河的两地书,李银河/王小波,上海锦绣文章出版社,磨铁图书,,,2008年5月,222,18.00元,平装,王小波作品全集（磨铁2008版）,9787806859988 
一个叫欧维的男人决定去死,https://book.douban.com/subject/26672693/,9,这个发生在瑞典的故事，如生命庆典般绚丽斑斓,[瑞典]弗雷德里克·巴克曼,四川文艺出版社,大鱼读品,EnmansomheterOve,宁蒙,2015年12月,312,35.00元,平装,弗雷德里克·巴克曼作品,9787541142185 
我们仨,https://book.douban.com/subject/1023045/,8.7,家庭生活回忆录,杨绛,生活·读书·新知三联书店,,,,2003年7月,165,18.80元,平装,,9787108018809 
最好的告别,https://book.douban.com/subject/26576861/,9,关于衰老与死亡，你必须知道的常识,[美]阿图·葛文德,浙江人民出版社,湛庐文化,,王一方主编/彭小华,2015年7月,248,54.90元,平装,湛庐文化·心视界,9787213067792 
巨人的陨落,https://book.douban.com/subject/26698660/,8.9,五个家族，一场战争,[英]肯·福莱特,江苏凤凰文艺出版社,读客文化,FallofGiants,于大卫,2016年5月,1168,129.80元,平装,读客全球顶级畅销小说文库：肯·福莱特作品,9787539989891 
呼兰河传,https://book.douban.com/subject/1060852/,8.9,萧红的童年往事,萧红,百花文艺出版社,,,,2005年1月,271,19,平装,现代文学名著原版珍藏,9787530640470 
这些人，那些事,https://book.douban.com/subject/6388661/,8.8,平淡叙述下的惊心动魄,吴念真,译林出版社,,,,2011年9月,203,28.00元,平装,吴念真作品,9787544717731 
道德经,https://book.douban.com/subject/1059258/,9.4,中国历史上首部完整的哲学著作,黄元吉,陕西人民出版社,,,,1996年10月,121,4.50元,平装,中国传统文化精品丛书,9787224034813 
朝花夕拾,https://book.douban.com/subject/1449352/,8.8,在纷扰中寻出一点闲静,鲁迅,人民文学出版社,,,,1972年4月,92,0.25元,平装,鲁迅作品集,
海子的诗,https://book.douban.com/subject/1011754/,8.9,空,海子,人民文学出版社,,,,1999年4月,292,15.4,平装,蓝星诗库,9787020026456 
你当像鸟飞往你的山,https://book.douban.com/subject/33440205/,8.8,我来自一个极少有人能想象的家庭，教育给了我新世界,[美]塔拉·韦斯特弗,南海出版公司,新经典文化,,任爱红,2019年10月,388,59.00元,精装,,9787544276986 
