书名,图书链接,评分,评价,作者,出版社,出品方,原作名,译者,出版年,页数,定价,装帧,丛书,ISBN
一句顶一万句,https://book.douban.com/subject/3633461/,8.7,一句胜过千年,刘震云,长江文艺出版社,长江新世纪,,,2009年3月,362,29.8,精装,刘震云作品,9787535439765 
雨季不再来,https://book.douban.com/subject/2136140/,8.7,三毛少女时代的成长感受,三毛,北京十月文艺出版社,青马文化,,,2007年7月,294,28.00元,精装,三毛集,9787530208960 
草房子,https://book.douban.com/subject/1052990/,9,男孩桑桑刻骨铭心、终身难忘的六年小学生活,曹文轩,江苏少年儿童出版社,,,,2009年6月,296,18.00元,平装,曹文轩纯美小说系列,9787534618727 
一千零一夜,https://book.douban.com/subject/1035848/,8.7,阿拉伯地区的古代民间传说,,人民文学出版社,,,纳川,2003年1月,560,22,平装,名著名译插图本,9787020040346 
雷雨,https://book.douban.com/subject/1013416/,8.6,一幕人生大悲剧，在一个雷雨夜爆发,曹禺,人民文学出版社,,,,1999年5月,188,9.2,平装,中国现代名剧丛书,9787020018567 
正见,https://book.douban.com/subject/1963912/,8.8,佛陀的证悟,[不丹]宗萨蒋扬钦哲仁波切,中国友谊出版公司,,AlmostBuddhist/近乎佛教徒,姚仁喜,2007年1月,168,25.00元,平装,,9787505722453 
此生未完成,https://book.douban.com/subject/6397275/,8.9,一个母亲、妻子、女儿的生命日记,于娟,湖南科技出版社,,,,2011年5月,248,26.00元,平装,,9787535766779 
青铜时代,https://book.douban.com/subject/1085883/,8.7,唐人传奇贯注现代情趣,王小波,花城出版社,,,,1997年5月,625,29.00元,平装,王小波《时代三部曲》,9787536025103 
认识电影,https://book.douban.com/subject/2326403/,8.9,电影入门经典之作,[美]路易斯·贾内梯/[瑞典]英格玛·伯格曼[日]黑泽明等供图,世界图书出版公司,后浪,,焦雄屏,2007年11月,484,68.00元,平装,,9787506287081 
从一到无穷大,https://book.douban.com/subject/1102715/,9.1,科学中的事实和臆测,[美]乔治·伽莫夫/校注吴伯泽,科学出版社,,OneTwoThree...Infinity,暴永宁译/吴伯泽校,2002年11月,329,29.00元,平装,20世纪科普经典特藏（中译本）,9787030107596 
海风中失落的血色馈赠,https://book.douban.com/subject/26357614/,9.1,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,[加拿大]阿利斯泰尔·麦克劳德,上海文艺出版社,99读书人,TheLostSaltGiftofBlood,陈以侃,2015年6月,163,CNY20.00,平装,短经典,9787532156825 
孙子兵法,https://book.douban.com/subject/1949420/,9.4,我国最古老最杰出的一部兵书,孙武,上海古籍出版社,,,郭化若,2006年7月,175,20.00元,平装,,9787532544400 
一桩事先张扬的凶杀案,https://book.douban.com/subject/24382569/,8.7,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,[哥伦比亚]加西亚·马尔克斯,南海出版公司,新经典文化,Crónicadeunamuerteanunciada,魏然,2013年6月,144,25.00元,精装,新经典文库：加西亚·马尔克斯作品,9787544266123 
水浒传（全二册）,https://book.douban.com/subject/1008357/,8.6,替天行道,罗贯中/施耐庵,人民文学出版社,,,,1997年1月,1314,50.60元,平装,中国古典文学读本丛书,9787020008742 
理想国,https://book.douban.com/subject/1004821/,8.8,人类历史上最早的乌托邦,柏拉图,商务印书馆,,Πολιτεία,郭斌和/张竹明,1986年8月,448,28.00元,平装,汉译世界学术名著丛书·哲学,9787100017565 
牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,8.5,你自己就是最大的宝藏,[巴西]保罗·柯艾略,南海出版公司,新经典文化,OAlquimista,丁文林,2009年3月,217,25.00元,精装,新经典文库·保罗·柯艾略作品,9787544244190 
繁花,https://book.douban.com/subject/22714154/,8.7,海上繁花，请静观静读,金宇澄,上海文艺出版社,,,,2013年3月,444,48.00元,平装,,9787532148004 
圣经,https://book.douban.com/subject/1803022/,9,上帝说，要有光,,中国基督教协会,,,中国基督教协会,1905年6月,,,精装,,
银河帝国：基地七部曲,https://book.douban.com/subject/26389895/,9.5,阿西莫夫经典科幻小说,[美]艾萨克·阿西莫夫,江苏凤凰文艺出版社,读客文化,,叶李华,2015年10月,2888,328.00元,平装,读客外国小说文库：艾萨克·阿西莫夫作品,9787539983356 
火星救援,https://book.douban.com/subject/26586492/,8.9,跟火星来一场不是你死就是我活的过家家游戏,[美]安迪·威尔,译林出版社,,TheMartian,陈灼,2015年10月,428,38,平装,安迪·威尔作品,9787544757225 
你一生的故事,https://book.douban.com/subject/26295448/,8.7,特德·姜科幻小说集,[美]特德·姜,译林出版社,,StoriesofYourLifeandOthers,李克勤/王荣生/姚向辉,2015年5月,292,36.00元,精装,特德·姜科幻作品,9787544752473 
棋王·树王·孩子王,https://book.douban.com/subject/26734559/,9.2,空,阿城,江苏文艺出版社,,,,2016年3月,200,58,精装,阿城文集（精装）,9787539979359 
黑客与画家,https://book.douban.com/subject/6021440/,8.7,硅谷创业之父Paul Graham文集,[美]保罗·格雷厄姆,人民邮电出版社,图灵教育,,阮一峰,2011年4月,264,49.00元,平装,,9787115249494 
中国哲学简史,https://book.douban.com/subject/1021273/,8.9,中国哲学入门书,冯友兰,新世界出版社,,AShortHistoryofChinesePhilosophy,赵复三,2004年1月,302,38.00元,平装,,9787801872166 
庄子,https://book.douban.com/subject/2046236/,9.4,野马也，尘埃也，生物之以息相吹也,孙通海译注/方勇译注,中华书局,,,方勇译注,2007年4月,389,20.00元,平裝32开,中华经典藏书,9787101055207 
金锁记,https://book.douban.com/subject/3017857/,8.6,一个小商人家庭出身的女子曹七巧的心灵变迁历程,张爱玲,哈尔滨出版社,,,,2005年6月,172,13.5元,平装,,9788781074519 
额尔古纳河右岸,https://book.douban.com/subject/3311253/,9,东北少数民族鄂温克人生存现状及百年沧桑,迟子建,北京十月文艺出版社,,,,2005年12月,262,29.00元,平装,,9787530209936 
巨流河,https://book.douban.com/subject/4842446/,8.7,两代人从巨流河到哑口海的故事,齐邦媛,生活·读书·新知三联书店,,,,2010年10月,398,39.00元,平装,,9787108034731 
强风吹拂,https://book.douban.com/subject/26210487/,9,明明这么痛苦，这么难过，为什么就是不能放弃跑步？,三浦紫苑,广西师范大学出版社,理想国,风が强く吹いている,林佩瑾/李建铨/杨正敏,2015年1月,434,39.00元,平装,,9787549559671 
张爱玲文集,https://book.douban.com/subject/1004992/,8.9,空,张爱玲,安徽文艺出版社,,,,1992年,4册,45元,平装,,9787539605951 
众病之王,https://book.douban.com/subject/20507206/,9.1,癌症传,[美]悉达多·穆克吉,中信出版社,,,李虎,2013年2月,525,42.00元,平装,,9787508638119 
简爱（英文全本）,https://book.douban.com/subject/1141406/,8.5,灰姑娘在十九世纪,[英]夏洛蒂·勃朗特,世界图书出版公司,,JaneEyre,,2003年11月,436,18.00元,平装,名著典藏,9787506261579 
恶意,https://book.douban.com/subject/3646172/,8.4,将手记体叙事的无限可能发挥得淋漓尽致,[日]东野圭吾,南海出版公司,新经典文化,悪意,娄美莲,2009年6月,264,18,平装,新经典文库·东野圭吾作品,9787544244428 
象棋的故事,https://book.douban.com/subject/2158684/,9.1,纳粹法西斯对人心灵的折磨及摧残,[奥地利]斯蒂芬·茨威格,上海译文出版社,,,张玉书,2007年7月,387,23.00元,平装,斯台芬·茨威格作品集,9787532741601 
设计中的设计,https://book.douban.com/subject/1941558/,8.6,日常生活的无限可能性,[日]原研哉,山东人民出版社,,DESIGNINGDESIGN,朱锷,2006年11月,212,48.00元,平装,,9787209041065 
故事新编,https://book.douban.com/subject/2046909/,9.2,拾取古代传说，取一点因由，随意点染,鲁迅,人民文学出版社,,,,1973年12月,129,0.31元,平装,鲁迅作品集,
ZOO,https://book.douban.com/subject/2297697/,8.6,噩梦中的一丝温度,[日]乙一,当代世界出版社,,,李颖秋,2007年10月,319,20.00元,平装,乐读文库,9787509002780 
毛姆短篇小说精选集,https://book.douban.com/subject/10774752/,9,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧,(英)威廉·萨默塞特·毛姆,译林出版社,,,冯亦代/傅惟慈/陆谷孙,2012年11月,477,36.00元,精装,,9787544728669 
夏洛的网,https://book.douban.com/subject/1036274/,8.6,一个蜘蛛和小猪的故事，写给孩子，也写给大人,[美]E·B·怀特,上海译文出版社,,Charlotte'sWeb,任溶溶,2004年5月,176,17.00元,平装,译文经典（平装本）,9787532733415 
荒原狼,https://book.douban.com/subject/3131626/,9,“超现实主义”风格作品，德国的《尤利西斯》,[德]赫尔曼·黑塞,上海译文出版社,,,赵登荣/倪诚恩,2008年7月,193,13,平装,译文名著文库,9787532744800 
论语,https://book.douban.com/subject/1964774/,9.1,仁远乎哉？我欲仁，斯仁至矣,,中华书局,,,,2006年12月,191,9.80元,平装,传世经典文白对照,9787101054187 
世界尽头与冷酷仙境,https://book.douban.com/subject/1291809/,8.6,交叉平行蒙太奇,[日]村上春树,上海译文出版社,,世界の終りとハードボイルド・ワンダーランド,林少华,2002年12月,450,23.00元,平装,村上春树文集（2001版）,9787532730001 
步履不停,https://book.douban.com/subject/26963321/,8.7,人生路上，步履不停，总有那么一点来不及,[日]是枝裕和,北京联合出版公司,,歩いても、歩いても,郑有杰,2017年5月,236,36.80元,平装,是枝裕和人间三部曲,9787550297685 
稻草人手记,https://book.douban.com/subject/3607117/,8.9,三毛在加纳利群岛上的生活,三毛,北京十月文艺出版社,青马文化,,,2009年3月,217,18.00元,平装,三毛全集（2009版）,9787530209691 
当呼吸化为空气,https://book.douban.com/subject/26896859/,8.8,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气,[美]保罗·卡拉尼什,猫头鹰文化·浙江文艺出版社,猫头鹰文化,WhenBreathBecomesAir,何雨珈,2016年12月,256,48.00元,精装,,9787533946562 
人类的群星闪耀时,https://book.douban.com/subject/1083762/,8.7,十四个影响人类文明的瞬间,[奥地利]斯蒂芬·茨威格,广西师范大学出版社,理想国,,舒昌善,2004年8月,231,18.00元,平装,影响过一代人的书,9787563349128 
佐贺的超级阿嬷,https://book.douban.com/subject/2008284/,8.7,乐观的外婆却总有神奇的办法,[日]岛田洋七,南海出版公司,新经典文化,,陈宝莲,2007年3月,256,20.00元,平装,新经典文库·巴学园,9787544234726 
狂热分子,https://book.douban.com/subject/3057556/,8.9,探讨群众运动的共有特征,[美]埃里克·霍弗,广西师范大学出版社,理想国,,梁永安,2011年6月,207,34.00元,精装,理想国人文精选,9787563374625 
二手时间,https://book.douban.com/subject/26704403/,8.8,用最为细小的马赛克拼出了一幅完整的后苏联时代图景,[白俄]S.A.阿列克谢耶维奇,中信出版集团,,Времясекондхэнд,吕宁思,2016年1月,592,55.00元,平装,S.A.阿列克谢耶维奇作品,9787508658346 
香水,https://book.douban.com/subject/1292416/,8.5,每一次谋杀只因迷恋她们身上的味道,[德]帕·聚斯金德,上海译文出版社,,DasParfum.DieGeschichteeinesMörders,李清华,2005年5月,235,20.00元,平装,译文经典（平装本）,9787532736201 
挪威的森林,https://book.douban.com/subject/2159042/,8.5,像喜欢春天的熊一样,[日]村上春树,上海译文出版社,,ノルウェイの森,林少华,2007年7月,384,23.00元,平装,村上春树文集,9787532742929 
多情剑客无情剑(上、中、下),https://book.douban.com/subject/1422833/,8.7,流水滔滔斩不断，情丝百结冲不破,古龙,海天出版社,,,,1991年12月,991,49.8,平装,,9787806152614 
社会契约论,https://book.douban.com/subject/1277981/,8.8,一个国家只能有一个契约,卢梭,商务印书馆,,DuContratSocial,何兆武,2003年2月,197,18.00元,平装,汉译世界学术名著丛书·政治法律社会,9787100037259 
影响力,https://book.douban.com/subject/1786387/,8.6,营销防骗指南,[美]罗伯特·西奥迪尼,中国人民大学出版社,湛庐文化,,陈叙,2006年5月,353,45.00元,平装,湛庐文化·商业智慧,9787300072487 
牡丹亭,https://book.douban.com/subject/1073708/,9,不到园林，怎知春色如许,汤显祖,人民文学出版社,,,,1963年4月,292,14.50元,平装,中国古典文学读本丛书,9787020015092 
金阁寺,https://book.douban.com/subject/3391248/,8.7,他的犯罪动机是对美的嫉妒,[日]三岛由纪夫,上海译文出版社,,金閣寺,唐月梅,2009年1月,227,24,平装,三岛由纪夫作品系列,9787532744565 
世界的凛冬,https://book.douban.com/subject/26957760/,8.8,我亲眼目睹，每一个迈向死亡的生命都在热烈地生长,[英]肯·福莱特,江苏凤凰文艺出版社,读客文化,WinteroftheWorld,陈杰,2017年3月,1168,132.00（全三册）,平装,读客全球顶级畅销小说文库：肯·福莱特作品,9787539999074 
美丽新世界,https://book.douban.com/subject/1321789/,8.7,最经典的反乌托邦文学之一,[英]阿道司·赫胥黎,重庆出版社,,BraveNewWorld,王波,2005年6月,255,20.00元,平装,重现经典,9787536671805 
老人与海,https://book.douban.com/subject/1064275/,8.4,正是悲壮赋予生活以意义,[美]欧内斯特·海明威,上海译文出版社,,TheOldManandtheSea,吴劳,1999年10月,104,8.20元,平装,,9787532723447 
了不起的盖茨比,https://book.douban.com/subject/10738023/,8.7,空,[美]弗·司各特·菲茨杰拉德,南海出版公司,新经典文化,TheGreatGatsby,邓若虚,2012年5月,197,25.00元,精装,新经典文库：桂冠文丛,9787544258661 
哈姆莱特,https://book.douban.com/subject/1006197/,8.6,生存还是毁灭，这是一个值得思考的问题,[英]威廉·莎士比亚,人民文学出版社,,Hamlet,朱生豪,2001年1月,125,7.00元,平装,大学生必读,9787020035946 
告白,https://book.douban.com/subject/4836682/,8.5,空,[日]凑佳苗/湊かなえ,哈尔滨出版社,,,丁世佳,2010年6月,181,26.00元,精装,,9787548401087 
安娜·卡列尼娜,https://book.douban.com/subject/2253380/,9.2,空,[俄]列夫·托尔斯泰,上海文艺出版社,,Annakarenina,草婴,2007年8月,788,37.00元,平装,世界十大文学名著,9787532132256 
别闹了，费曼先生,https://book.douban.com/subject/1037602/,8.9,科学顽童的故事,[美]理查德·费曼,生活·读书·新知三联书店,,“SurelyYou’reJokingMr.Feynman!”-AdventuresofaCuriousCharacter,吴程远,1997年12月,449,22,平装,科学人文,9787108011114 
通往奴役之路,https://book.douban.com/subject/1077528/,8.8,古典自由主义杰作,(英)弗里德利希·奥古斯特·哈耶克,中国社会科学出版社,,TheRoadtoSerfdom,王明毅/冯兴元,1997年8月,247,16,精装,西方现代思想丛书,9787500421368 
规训与惩罚,https://book.douban.com/subject/1012307/,9.2,伴随着惩罚的人性化，自由反而日益丧失了,[法]米歇尔·福柯,生活·读书·新知三联书店,,Surveilleretpunir,刘北成/杨远婴,2003年1月,377,21.80元,平装,学术前沿,9787108017949 
骆驼祥子,https://book.douban.com/subject/1043815/,8.4,旧中国老北京贫苦市民的典型命运,老舍,人民文学出版社,,,,2000年3月,224,12,平装,,9787020028115 
欢乐英雄,https://book.douban.com/subject/1264579/,8.8,坚持自己的信念，在贫穷中获得欢乐与友谊,古龙,珠海出版社,,,,2005年8月,616,28.00元,平装,古龙作品集,9787806070628 
一个人的村庄,https://book.douban.com/subject/1692648/,8.9,他是真正的作家，也是真正的农民,刘亮程,春风文艺出版社,,,,2006年1月,280,28.00元,平装,,9787531329329 
美国宪政历程,https://book.douban.com/subject/1144185/,9.1,25个案例异彩纷呈，美国宪政的酸甜苦辣尽在其中,任东来/陈伟/白雪峰,中国法制出版社,,,,2014年1月,612,35.00元,平装,,9787801821386 
长袜子皮皮,https://book.douban.com/subject/1004088/,9,空,[瑞典]阿斯特丽德·林格伦,中国少年儿童出版社,,,李之义,1999年3月,288,17.80元,精装,文学大师林格伦作品集,9787500742586 
海底两万里,https://book.douban.com/subject/1085470/,8.5,你听说过鹦鹉螺号吗？,[法]儒勒·凡尔纳,译林出版社,,,沈国华/钱培鑫/曹德明,2002年9月,414,19.50元,精装,译林少儿文库,9787806574317 
2001太空漫游,https://book.douban.com/subject/2340609/,9.1,科幻三巨头之一阿瑟·克拉克代表作,[英]阿瑟·克拉克,上海人民出版社,,,郝明义,2007年11月,279,28.00元,平装,太空漫游,9787208074002 
尘埃落定,https://book.douban.com/subject/1080309/,8.5,一个傻子的土司家族传奇,阿来,人民文学出版社,,,,1998年3月,408,22,平装,茅盾文学奖获奖书系,9787020033645 
长夜难明,https://book.douban.com/subject/26923390/,8.5,空,紫金陈,云南人民出版社,浦睿文化,,,2017年1月,288,42.00元,平装,推理之王,9787222143975 
西方哲学史（上卷）,https://book.douban.com/subject/1008189/,8.9,西方哲学史及其与从古代到现代的政治、社会情况的联系,伯特兰·罗素,商务印书馆,,AHistoryofWesternPhilosophy,何兆武/李约瑟,1963年9月,590,25,平装,汉译世界学术名著丛书·哲学,9787100004824 
社会性动物,https://book.douban.com/subject/2328458/,9.1,美国社会心理学的《圣经》,[美]埃利奥特·阿伦森,华东师范大学出版社,,,邢占军,2007年12月,379,45.00元,平装,当代心理科学名著译丛,9787561756638 
批评官员的尺度,https://book.douban.com/subject/6401128/,8.9,新闻自由史上的里程碑案件：《纽约时报》诉沙利文案,[美]安东尼·刘易斯,北京大学出版社,,,何帆,2011年7月,356,32.00元,平装,,9787301188736 
过于喧嚣的孤独,https://book.douban.com/subject/6781794/,8.8,我为它而活着，并为写它推迟了我的死亡,(捷克)赫拉巴尔,北京十月文艺出版社,新经典文化,Přílišhlučnasamota,杨乐云,2011年10月,120,22.00元,精装,,9787530211571 
不存在的骑士,https://book.douban.com/subject/6789551/,8.9,空,[意]伊塔洛·卡尔维诺,译林出版社,,IlCavaliereInesistente,吴正仪,2012年4月,138,22.00元,精装,卡尔维诺经典,9787544722797 
娱乐至死,https://book.douban.com/subject/1062193/,8.5,一切公众话语都日渐以娱乐的方式出现，一切文化内容都成为娱乐的附庸,[美]尼尔·波兹曼,广西师范大学出版社,理想国,AmusingOurselvestoDeath,章艳,2011年6月,188,29.80元,精装,理想国人文精选,9787563344970 
如父如子,https://book.douban.com/subject/27611824/,8.9,空,[日]是枝裕和/[日]佐野晶,湖南文艺出版社,,,丹勇,2018年4月,298,49.8,精装,,9787540484651 
心理学与生活,https://book.douban.com/subject/1032501/,8.8,是教科书，也是通俗易懂的好读物,[美]理查德·格里格/[美]菲利普·津巴多,人民邮电出版社,,,王垒/王甦等,2003年10月,621,88.00元,平装,新曲线·心理学丛书,9787115111302 
